atlas_id	created_at	provider	west	south	east	north
2227	2013-02-11 09:08:23	http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg	85.42854817567	27.715881784461	85.429964381982	27.716679601698
2227	2013-02-11 09:08:23	http://tile.stamen.com/bing-lite/{Z}/{X}/{Y}.jpg	85.429900008968	27.715881784461	85.43131621528	27.716679601698
2231	2013-06-07 01:54:20	http://tile.stamen.com/boner/{Z}/{X}/{Y}.jpg	85.304243885263	27.697321389141	85.307720028029	27.699278263427
2321	2014-09-10 01:51:27	http://api.tiles.mapbox.com/v3/stamen.i808gmk6/{Z}/{X}/{Y}.png	74.064329369079	29.230321525002	86.709592615782	36.649456432787
2321	2014-09-10 01:51:27	http://api.tiles.mapbox.com/v3/stamen.i808gmk6/{Z}/{X}/{Y}.png	74.064329369079	21.618105403176	86.709592615782	29.591118293584
2321	2014-09-10 01:51:27	http://api.tiles.mapbox.com/v3/stamen.i808gmk6/{Z}/{X}/{Y}.png	86.720578943537	21.618105403176	99.36584219024	29.591118293584
2623	2013-10-21 09:59:48	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.330497346218	27.725065827336	85.337020478323	27.729111499409
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.324757419119	27.699639236404	85.32984288724	27.702792949521
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.32984288724	27.699639236404	85.334928355362	27.702792949521
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.334928355362	27.699639236404	85.340013823483	27.702792949521
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.324757419119	27.696637424806	85.32984288724	27.699791224669
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.32984288724	27.696637424806	85.334928355362	27.699791224669
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.334928355362	27.696637424806	85.340013823483	27.699791224669
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.324757419119	27.693635530649	85.32984288724	27.696789417251
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.32984288724	27.693635530649	85.334928355362	27.696789417251
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.334928355362	27.693635530649	85.340013823483	27.696789417251
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.324757419119	27.690633553939	85.32984288724	27.693787527274
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.32984288724	27.690633553939	85.334928355362	27.693787527274
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.334928355362	27.690633553939	85.340013823483	27.693787527274
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.324757419119	27.687631494683	85.32984288724	27.690785554744
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.32984288724	27.687631494683	85.334928355362	27.690785554744
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.334928355362	27.687631494683	85.340013823483	27.690785554744
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.324757419119	27.684629352885	85.32984288724	27.687783499667
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.32984288724	27.684629352885	85.334928355362	27.687783499667
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.334928355362	27.684629352885	85.340013823483	27.687783499667
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.324757419119	27.681627128553	85.32984288724	27.684781362049
2699	2013-06-20 00:14:25	http://tile.openstreetmap.org/{Z}/{X}/{Y}.png	85.32984288724	27.681627128553	85.334928355362	27.684781362049
